# UTIAS Multi-Robot Cooperative Localization and Mapping Dataset
# produced by Keith Leung (keith.leung@robotics.utias.utoronto.ca) 2009
# Odometry Data Fomat:
# Time [s] forward velocity [m/s] angular velocity[rad/s] 
1248297556.158 0.000 0.000
1248297556.169 0.000 0.000
1248297556.180 0.000 0.000
1248297556.190 0.075 0.240
1248297556.211 0.075 0.240
1248297556.232 0.075 0.241
1248297556.252 0.075 0.241
1248297556.293 0.075 0.241
1248297556.313 0.075 0.241
1248297556.344 0.075 0.241
1248297556.354 0.075 0.241
1248297556.385 0.075 0.241
1248297556.395 0.075 0.241
1248297556.436 0.075 0.241
1248297556.457 0.075 0.241
1248297556.487 0.075 0.240
1248297556.498 0.075 0.240
1248297556.549 0.074 0.238
1248297556.559 0.074 0.238
1248297556.580 0.074 0.235
1248297556.590 0.074 0.233
1248297556.631 0.074 0.232
1248297556.662 0.074 0.230
1248297556.692 0.074 0.229
1248297556.703 0.074 0.229
1248297556.744 0.074 0.227
1248297556.794 0.074 0.224
1248297556.805 0.074 0.222
1248297556.846 0.074 0.219
1248297556.876 0.074 0.219
1248297556.897 0.074 0.217
1248297556.907 0.074 0.217
1248297556.958 0.074 0.216
1248297556.989 0.073 0.214
1248297557.009 0.073 0.211
1248297557.040 0.073 0.211
1248297557.071 0.073 0.207
1248297557.081 0.073 0.207
1248297557.132 0.067 0.000
1248297557.152 0.067 0.000
1248297557.193 0.067 0.000
1248297557.224 0.067 0.000
1248297557.255 0.067 0.000
1248297557.275 0.067 0.000
1248297557.316 0.067 0.000
1248297557.336 0.067 0.000
1248297557.377 0.067 0.000
1248297557.408 0.067 0.000
1248297557.428 0.067 0.000
1248297557.438 0.067 0.000
1248297557.499 0.067 0.000
1248297557.550 0.067 0.000
1248297557.560 0.067 0.000
1248297557.591 0.067 0.000
1248297557.621 0.067 0.000
1248297557.652 0.067 0.000
1248297557.672 0.067 0.000
1248297557.712 0.067 0.000
1248297557.763 0.067 0.000
1248297557.794 0.067 0.000
1248297557.824 0.067 0.000
1248297557.844 0.067 0.000
1248297557.875 0.067 0.000
1248297557.895 0.067 0.000
1248297557.936 0.067 0.000
1248297557.956 0.067 0.000
1248297557.997 0.067 0.000
1248297558.007 0.000 0.000
1248297558.017 0.000 0.000
1248297558.027 0.000 0.000
1248297558.037 0.000 0.000
1248297558.048 0.067 0.000
1248297558.078 0.067 0.000
1248297558.118 0.067 0.000
1248297558.129 0.067 0.000
1248297558.169 0.067 0.000
1248297558.190 0.067 0.000
1248297558.220 0.067 0.000
1248297558.250 0.067 0.000
1248297558.271 0.067 0.000
1248297558.291 0.067 0.000
1248297558.331 0.067 0.000
1248297558.392 0.067 0.000
1248297558.402 0.067 0.000
1248297558.443 0.067 0.000
1248297558.513 0.067 0.000
1248297558.523 0.067 0.000
1248297558.554 0.067 0.000
1248297558.594 0.067 0.000
1248297558.615 0.067 0.000
1248297558.645 0.067 0.000
1248297558.675 0.067 0.000
1248297558.696 0.067 0.000
1248297558.726 0.067 0.000
1248297558.756 0.067 0.000
1248297558.787 0.067 0.000
1248297558.797 0.067 0.000
1248297558.858 0.067 0.000
1248297558.908 0.067 0.000
1248297558.929 0.067 0.000
1248297558.979 0.067 0.000
1248297559.010 0.000 0.000
1248297559.020 0.000 0.000
1248297559.030 0.000 0.000
1248297559.040 0.067 0.000
1248297559.091 0.067 0.000
1248297559.131 0.067 0.000
1248297559.151 0.067 0.000
1248297559.161 0.067 0.000
1248297559.202 0.067 0.000
1248297559.212 0.067 0.000
1248297559.273 0.067 0.000
1248297559.293 0.067 0.000
1248297559.324 0.067 0.000
1248297559.354 0.067 0.000
1248297559.394 0.067 0.000
1248297559.445 0.067 0.000
1248297559.455 0.067 0.000
1248297559.496 0.067 0.000
1248297559.557 0.067 0.000
1248297559.607 0.067 0.000
1248297559.678 0.067 0.000
1248297559.729 0.067 0.000
1248297559.739 0.067 0.000
1248297559.789 0.067 0.000
1248297559.850 0.067 0.000
1248297559.870 0.067 0.000
1248297559.901 0.067 0.000
1248297559.921 0.067 0.000
1248297559.962 0.067 0.000
1248297559.982 0.067 0.000
1248297560.002 0.000 0.000
1248297560.012 0.067 0.000
1248297560.033 0.067 0.000
1248297560.063 0.067 0.000
1248297560.073 0.067 0.000
1248297560.114 0.067 0.000
1248297560.144 0.067 0.000
1248297560.175 0.067 0.000
1248297560.195 0.067 0.000
1248297560.225 0.067 0.000
1248297560.266 0.067 0.000
1248297560.296 0.067 0.000
1248297560.316 0.067 0.000
1248297560.347 0.067 0.000
1248297560.367 0.067 0.000
1248297560.417 0.067 0.000
1248297560.428 0.067 0.000
1248297560.478 0.067 0.000
1248297560.499 0.067 0.000
1248297560.539 0.067 0.000
1248297560.549 0.067 0.000
1248297560.590 0.067 0.000
1248297560.620 0.067 0.000
1248297560.660 0.067 0.000
1248297560.671 0.067 0.000
1248297560.711 0.067 0.000
1248297560.731 0.067 0.000
1248297560.772 0.067 0.000
1248297560.782 0.067 0.000
1248297560.833 0.067 0.000
1248297560.853 0.067 0.000
1248297560.903 0.067 0.000
1248297560.924 0.067 0.000
1248297560.944 0.067 0.000
1248297560.954 0.067 0.000
1248297560.995 0.067 0.000
1248297561.005 0.000 0.000
1248297561.015 0.000 0.000
1248297561.025 0.067 0.000
1248297561.076 0.067 0.000
1248297561.106 0.067 0.000
1248297561.126 0.067 0.000
1248297561.167 0.067 0.000
1248297561.187 0.067 0.000
1248297561.217 0.067 0.000
1248297561.228 0.067 0.000
1248297561.278 0.067 0.000
1248297561.299 0.067 0.000
1248297561.339 0.067 0.000
1248297561.349 0.067 0.000
1248297561.400 0.067 0.000
1248297561.420 0.067 0.000
1248297561.451 0.067 0.000
1248297561.471 0.067 0.000
1248297561.522 0.067 0.000
1248297561.542 0.067 0.000
1248297561.583 0.067 0.000
1248297561.633 0.067 0.000
1248297561.644 0.067 0.000
1248297561.694 0.067 0.000
1248297561.745 0.067 0.000
1248297561.765 0.067 0.000
1248297561.816 0.067 0.000
1248297561.826 0.067 0.000
1248297561.866 0.067 0.000
1248297561.877 0.067 0.000
1248297561.927 0.067 0.000
1248297561.937 0.067 0.000
1248297561.988 0.067 0.000
1248297562.008 0.067 0.000
1248297562.039 0.067 0.000
1248297562.069 0.067 0.000
1248297562.110 0.067 0.000
1248297562.140 0.067 0.000
1248297562.160 0.067 0.000
1248297562.191 0.067 0.000
1248297562.231 0.067 0.000
1248297562.241 0.067 0.000
1248297562.282 0.067 0.000
1248297562.302 0.067 0.000
1248297562.343 0.067 0.000
1248297562.353 0.067 0.000
1248297562.416 0.067 0.000
1248297562.426 0.067 0.000
1248297562.457 0.067 0.000
1248297562.498 0.067 0.000
1248297562.519 0.067 0.000
1248297562.539 0.067 0.000
1248297562.590 0.067 0.000
1248297562.600 0.067 0.000
1248297562.641 0.067 0.000
1248297562.661 0.067 0.000
1248297562.712 0.067 0.000
1248297562.722 0.067 0.000
1248297562.763 0.067 0.000
1248297562.783 0.067 0.000
1248297562.824 0.067 0.000
1248297562.834 0.067 0.000
1248297562.874 0.067 0.000
1248297562.925 0.067 0.000
